"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Capros aper";"Capros aper";"127419";127419;"Capros";"Caproidae";"Acanthuriformes";"Actinopteri";"Chordata"
"Alloteuthis";"Alloteuthis";"138138";138138;"Alloteuthis";"Loliginidae";"Myopsida";"Cephalopoda";"Mollusca"
"Loligo vulgaris";"Loligo vulgaris";"140271";140271;"Loligo";"Loliginidae";"Myopsida";"Cephalopoda";"Mollusca"
"Sardina pilchardus";"Sardina pilchardus";"126421";126421;"Sardina";"Clupeidae";"Clupeiformes";"Actinopteri";"Chordata"
"Trachurus mediterraneus";"Trachurus mediterraneus";"126820";126820;"Trachurus";"Carangidae";"Carangiformes";"Actinopteri";"Chordata"
"Trachurus trachurus";"Trachurus trachurus";"126822";126822;"Trachurus";"Carangidae";"Carangiformes";"Actinopteri";"Chordata"
"Engraulis encrasicolus";"Engraulis encrasicolus";"126426";126426;"Engraulis";"Engraulidae";"Clupeiformes";"Actinopteri";"Chordata"
"Argentina sphyraena";"Argentina sphyraena";"126716";126716;"Argentina";"Argentinidae";"Argentiniformes";"Actinopteri";"Chordata"
"Illex coindetii";"Illex coindetii";"140621";140621;"Illex";"Ommastrephidae";"Oegopsida";"Cephalopoda";"Mollusca"
"Loligo forbesii";"Loligo forbesii";"140270";140270;"Loligo";"Loliginidae";"Myopsida";"Cephalopoda";"Mollusca"
"Scomber colias";"Scomber colias";"151174";151174;"Scomber";"Scombridae";"Scombriformes";"Actinopteri";"Chordata"
"Todaropsis eblanae";"Todaropsis eblanae";"140625";140625;"Todaropsis";"Ommastrephidae";"Oegopsida";"Cephalopoda";"Mollusca"
"Scomber scombrus";"Scomber scombrus";"127023";127023;"Scomber";"Scombridae";"Scombriformes";"Actinopteri";"Chordata"
"Sarda sarda";"Sarda sarda";"127021";127021;"Sarda";"Scombridae";"Scombriformes";"Actinopteri";"Chordata"
"Atherina presbyter";"Atherina presbyter";"272030";272030;"Atherina";"Atherinidae";"Atheriniformes";"Actinopteri";"Chordata"
"Clupea harengus";"Clupea harengus";"126417";126417;"Clupea";"Clupeidae";"Clupeiformes";"Actinopteri";"Chordata"
"Sprattus sprattus";"Sprattus sprattus";"126425";126425;"Sprattus";"Clupeidae";"Clupeiformes";"Actinopteri";"Chordata"
"Alosa fallax";"Alosa fallax";"126415";126415;"Alosa";"Clupeidae";"Clupeiformes";"Actinopteri";"Chordata"
"Trachurus picturatus";"Trachurus picturatus";"126821";126821;"Trachurus";"Carangidae";"Carangiformes";"Actinopteri";"Chordata"
"Argentina silus";"Argentina silus";"126715";126715;"Argentina";"Argentinidae";"Argentiniformes";"Actinopteri";"Chordata"
"Todarodes sagittatus";"Todarodes sagittatus";"140624";140624;"Todarodes";"Ommastrephidae";"Oegopsida";"Cephalopoda";"Mollusca"
"Galeorhinus galeus";"Galeorhinus galeus";"105820";105820;"Galeorhinus";"Triakidae";"Carcharhiniformes";"Elasmobranchii";"Chordata"
"Alosa alosa";"Alosa alosa";"126413";126413;"Alosa";"Clupeidae";"Clupeiformes";"Actinopteri";"Chordata"
"Xiphias gladius";"Xiphias gladius";"127094";127094;"Xiphias";"Xiphiidae";"Carangiformes";"Actinopteri";"Chordata"
"Lamna nasus";"Lamna nasus";"105841";105841;"Lamna";"Lamnidae";"Lamniformes";"Elasmobranchii";"Chordata"
"Belone belone";"Belone belone";"126375";126375;"Belone";"Belonidae";"Beloniformes";"Actinopteri";"Chordata"
"Seriola";"Seriola";"125944";125944;"Seriola";"Carangidae";"Carangiformes";"Actinopteri";"Chordata"
"Lepidopus caudatus";"Lepidopus caudatus";"127088";127088;"Lepidopus";"Trichiuridae";"Scombriformes";"Actinopteri";"Chordata"
"Histioteuthis reversa";"Histioteuthis reversa";"181381";181381;"Histioteuthis";"Histioteuthidae";"Oegopsida";"Cephalopoda";"Mollusca"
"Scomberesox saurus saurus";"Scomberesox saurus saurus";"236461";236461;"Scomberesox";"Scomberesocidae";"Beloniformes";"Actinopteri";"Chordata"
"Remora brachyptera";"Remora brachyptera";"126851";126851;"Remora";"Echeneidae";"Carangiformes";"Actinopteri";"Chordata"
"Ruvettus pretiosus";"Ruvettus pretiosus";"126867";126867;"Ruvettus";"Gempylidae";"Scombriformes";"Actinopteri";"Chordata"
"Brama brama";"Brama brama";"126783";126783;"Brama";"Bramidae";"Scombriformes";"Actinopteri";"Chordata"
"Aphanopus carbo";"Aphanopus carbo";"127085";127085;"Aphanopus";"Trichiuridae";"Scombriformes";"Actinopteri";"Chordata"
"Atherina boyeri";"Atherina boyeri";"272027";272027;"Atherina";"Atherinidae";"Atheriniformes";"Actinopteri";"Chordata"
"Scomber japonicus";"Scomber japonicus";"127022";127022;"Scomber";"Scombridae";"Scombriformes";"Actinopteri";"Chordata"
"Aurelia";"Aurelia";"135263";135263;"Aurelia";"Ulmaridae";"Semaeostomeae";"Scyphozoa";"Cnidaria"
"Histioteuthidae";"Histioteuthidae";"11749";11749;NA;"Histioteuthidae";"Oegopsida";"Cephalopoda";"Mollusca"
"Naucrates ductor";"Naucrates ductor";"126811";126811;"Naucrates";"Carangidae";"Carangiformes";"Actinopteri";"Chordata"
"Histioteuthis bonnellii";"Histioteuthis bonnellii";"140111";140111;"Histioteuthis";"Histioteuthidae";"Oegopsida";"Cephalopoda";"Mollusca"
"Phronima sedentaria";"Phronima sedentaria";"103272";103272;"Phronima";"Phronimidae";"Amphipoda";"Malacostraca";"Arthropoda"
"Aurelia aurita";"Aurelia aurita";"135306";135306;"Aurelia";"Ulmaridae";"Semaeostomeae";"Scyphozoa";"Cnidaria"
"Pelagia noctiluca";"Pelagia noctiluca";"135305";135305;"Pelagia";"Pelagiidae";"Semaeostomeae";"Scyphozoa";"Cnidaria"
"Salpa";"Salpa";"137233";137233;"Salpa";"Salpidae";"Salpida";"Thaliacea";"Chordata"
"Soestia zonaria";"Soestia zonaria";"137275";137275;"Soestia";"Salpidae";"Salpida";"Thaliacea";"Chordata"
"Cymbulia peronii";"Cymbulia peronii";"139494";139494;"Cymbulia";"Cymbuliidae";"Pteropoda";"Gastropoda";"Mollusca"
"Aequorea";"Aequorea";"116998";116998;"Aequorea";"Aequoreidae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Rhizostoma pulmo";"Rhizostoma pulmo";"135299";135299;"Rhizostoma";"Rhizostomatidae";"Rhizostomeae";"Scyphozoa";"Cnidaria"
"Remora remora";"Remora remora";"126853";126853;"Remora";"Echeneidae";"Carangiformes";"Actinopteri";"Chordata"
"Prionace glauca";"Prionace glauca";"105801";105801;"Prionace";"Carcharhinidae";"Carcharhiniformes";"Elasmobranchii";"Chordata"
"Meganyctiphanes norvegica";"Meganyctiphanes norvegica";"110690";110690;"Meganyctiphanes";"Euphausiidae";"Euphausiacea";"Malacostraca";"Arthropoda"
"Salpidae";"Salpidae";"137217";137217;NA;"Salpidae";"Salpida";"Thaliacea";"Chordata"
"Salpa maxima";"Salpa maxima";"137273";137273;"Salpa";"Salpidae";"Salpida";"Thaliacea";"Chordata"
"Thetys vagina";"Thetys vagina";"137281";137281;"Thetys";"Salpidae";"Salpida";"Thaliacea";"Chordata"
"Euphausia";"Euphausia";"110673";110673;"Euphausia";"Euphausiidae";"Euphausiacea";"Malacostraca";"Arthropoda"
"Euphausiacea";"Euphausiacea";"1128";1128;NA;NA;"Euphausiacea";"Malacostraca";"Arthropoda"
"Catostylus tagi";"Catostylus tagi";"135296";135296;"Catostylus";"Catostylidae";"Rhizostomeae";"Scyphozoa";"Cnidaria"
"Salpinae";"Salpinae";"720267";720267;NA;"Salpidae";"Salpida";"Thaliacea";"Chordata"
"Scyphozoa";"Scyphozoa";"135220";135220;NA;NA;NA;"Scyphozoa";"Cnidaria"
"Periphylla periphylla";"Periphylla periphylla";"135294";135294;"Periphylla";"Periphyllidae";"Coronatae";"Scyphozoa";"Cnidaria"
"Pyrosoma";"Pyrosoma";"137224";137224;"Pyrosoma";"Pyrosomatidae";"Pyrosomatida";"Thaliacea";"Chordata"
"Chrysaora hysoscella";"Chrysaora hysoscella";"135304";135304;"Chrysaora";"Pelagiidae";"Semaeostomeae";"Scyphozoa";"Cnidaria"
"Solmissus albescens";"Solmissus albescens";"117503";117503;"Solmissus";"Cuninidae";"Narcomedusae";"Hydrozoa";"Cnidaria"
"Clione";"Clione";"137793";137793;"Clione";"Clionidae";"Pteropoda";"Gastropoda";"Mollusca"
"Pleurobrachia pileus";"Pleurobrachia pileus";"106386";106386;"Pleurobrachia";"Pleurobrachiidae";"Cydippida";"Tentaculata";"Ctenophora"
"Rhizostoma octopus";"Rhizostoma octopus";"152203";152203;"Rhizostoma";"Rhizostomatidae";"Rhizostomeae";"Scyphozoa";"Cnidaria"
"Aequorea forskalea";NA;NA;NA;NA;NA;NA;NA;NA
